problem,avg_duration_sec_cpp,avg_duration_sec_python,total_joules_cpp,total_joules_python,energy_saving_pct,runtime_speedup_pct
check-if-dfs-strings-are-palindromes,0.0092741250991821,0.1280710220336914,0.1610285999999999,2.2199283999999997,92.7462255088948,92.7586077225632
check-if-digits-are-equal-in-string-after-operations-ii,0.003150987625122,0.1276715993881225,0.0547973,2.1655277,97.46956365416152,97.53195883796913
equal-sum-grid-partition-ii,0.0090878963470458,0.0671153783798217,0.1402827,1.1383394,87.67654883947617,86.45929358303658
find-the-original-typed-string-ii,0.0038800477981567,0.0554662704467773,0.0790157,0.9584022000000001,91.75547593692919,93.00467154740501
find-weighted-median-node-in-tree,0.0051592111587524,0.3713466882705688,0.08648080000000001,5.8965366,98.5333627879118,98.61067532801226
find-x-value-of-array-ii,0.0069671869277954,0.1470585346221923,0.1242065,2.5463865,95.12224479669523,95.26230358156717
length-of-longest-v-shaped-diagonal-segment,0.0032391786575317,0.0751683473587036,0.0580687999999999,1.2817290000000001,95.46949472158313,95.6907677614963
lexicographically-smallest-generated-string,0.0054889202117919,0.1062867879867553,0.08952,1.8481273,95.15617782389774,94.83574551855317
longest-palindrome-after-substring-concatenation-ii,0.0071400642395019,0.1613601922988891,0.1098812,2.7189018000000003,95.95861829213545,95.57507701386704
longest-palindromic-path-in-graph,0.0275240182876586,2.1039318323135374,0.4569935,33.7198113,98.64473292589273,98.69178184079317
longest-special-path,0.0040781021118164,0.1210897445678711,0.0722714,2.0172553,96.41733993709175,96.63216556747246
longest-special-path-ii,0.0617352485656738,0.1162148237228393,0.9067479,1.9636794,53.82403563433012,46.87833566490091
maximize-active-section-with-trade-ii,0.0052253246307373,0.1429966926574707,0.08212900000000001,2.4097165,96.59175674814858,96.3458423173088
maximize-spanning-tree-stability-with-upgrades,0.0067488193511962,0.0793852567672729,0.141723,1.4301538,90.09036650463747,91.49864896074953
maximize-subarray-gcd-score,0.0119327068328857,0.0948458671569824,0.1972219,1.6267842000000001,87.87657883571774,87.41884365595446
maximize-subarray-sum-after-removing-all-occurrences-of-one-element,0.0057695627212524,0.4210716962814331,0.0962457999999999,6.7516672,98.57448838710533,98.62979089494627
maximize-the-distance-between-points-on-a-square,0.0073521137237548,0.1875224113464355,0.1322752,3.1223492000000004,95.7636000483226,96.07934130594543
maximize-the-number-of-target-nodes-after-connecting-trees-ii,0.0170693635940551,0.1253613948822021,0.2929743,2.1468450000000003,86.3532625783417,86.38387550641518
maximum-frequency-of-an-element-after-performing-operations-ii,0.0156804084777832,0.1627942323684692,0.2888052,2.7539787,89.51316508003492,90.36795821961793
maximum-good-subtree-score,0.0048054695129394,0.044450831413269,0.0661558,0.8020368999999999,91.75152664422298,89.18924717456484
maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k,0.009405779838562,0.0454688549041748,0.162384,0.8638954,81.20327993412165,79.31379653526662
maximum-profit-from-valid-topological-order-in-dag,0.0039452075958251,0.062764549255371,0.0762815,1.1214992999999998,93.19825701184119,93.71427399283442
maximum-sum-of-edge-values-in-a-graph,0.0082868576049804,0.0754208326339721,0.15595050000000002,1.3848841,88.73909376243108,89.01250846009926
merge-operations-for-minimum-travel-time,0.0190993309020996,0.2457507610321045,0.3548819,4.119453200000001,91.38521831004172,92.22817019085264
minimum-cost-path-with-teleportations,0.0074700117111206,0.2922225475311279,0.1103449,4.849395400000001,97.7245637672688,97.44372507384124
minimum-cost-to-divide-array-into-subarrays,0.0061194896697998,0.1053974151611328,0.10769619999999999,1.839473,94.14526878078668,94.19389018179976
minimum-increments-for-target-multiples-in-an-array,0.004781150817871,0.0538186788558959,0.0736387,1.0297886,92.84914398935858,91.11618694566447
minimum-stability-factor-of-array,0.0082189559936523,0.338532018661499,0.13441140000000001,5.5129557,97.56189950882427,97.57217765511554
number-of-integers-with-popcount-depth-equal-to-k-ii,0.0037986278533935,0.0691865444183349,0.0690185,1.2546232,94.49886627315675,94.50958580844106
number-of-ways-to-assign-edge-weights-ii,0.0151773452758789,0.1996474027633667,0.2484549,3.2528602,92.36195579508765,92.39792500888781
path-existence-queries-in-a-graph-ii,0.0055157423019409,0.1056844472885131,0.092633,1.8434401,94.97499267809137,94.78093282081213
separate-squares-ii,0.0040464401245117,0.2464963436126709,0.0706479,3.9759665999999996,98.22312642163543,98.35841779021679
shortest-matching-substring,0.0069325447082519,0.0801141500473022,0.1237301,1.4267542,91.32786151952453,91.34666634526025
shortest-path-in-a-weighted-tree,0.0097357988357543,0.1088037252426147,0.20044509999999988,1.8535842999999999,89.18608125888852,91.05196185696303
sorted-gcd-pair-queries,0.0059397220611572,0.380811595916748,0.08899520000000001,6.1590112,98.55504078316987,98.44024653533509
subsequences-with-a-unique-middle-mode-i,0.0116784572601318,0.1556312322616577,0.2057977,2.6462882,92.22315619288933,92.49607094256172
subtree-inversion-sum,0.0087478399276733,0.1037313222885131,0.1695371,1.8367383,90.76966490000237,91.56682886646091
xor-after-range-multiplication-queries-ii,0.0073508977890014,0.0840962171554565,0.13986780000000001,1.4239161,90.17724429128936,91.25894357957522
